log_id,user_id,session_id,timestamp,feature_accessed,action
50000,1000,3839,2026-05-14 23:55:10.715503,Voucher,click
50001,1000,4297,2026-05-18 12:03:27.878546,Voucher,click
50002,1000,8975,2026-05-28 18:47:46.377341,Voucher,click
50003,1000,3474,2026-05-29 12:40:56.673482,Voucher,click
50004,1000,6461,2026-05-13 08:55:13.140324,Voucher,click
50005,1000,9631,2026-05-12 16:10:04.245331,Voucher,click
50006,1000,8466,2026-05-12 15:46:53.042723,Voucher,click
50007,1000,8966,2026-05-24 23:13:05.325772,Voucher,click
50008,1000,1914,2026-06-06 05:33:30.200774,Voucher,click
50009,1000,8949,2026-05-12 09:34:15.105679,Voucher,click
50010,1000,3423,2026-05-15 20:18:59.292508,Voucher,click
50011,1000,5224,2026-05-29 16:21:48.779129,Voucher,click
50012,1000,9005,2026-05-21 02:41:59.160995,Voucher,click
50013,1000,7772,2026-05-28 02:24:14.301634,Voucher,click
50014,1000,8407,2026-05-30 07:40:50.112153,Voucher,click
50015,1000,4289,2026-05-10 18:35:40.429889,Voucher,click
50016,1000,9468,2026-05-10 14:43:14.422456,Voucher,click
50017,1000,4532,2026-06-03 22:48:06.716710,Voucher,click
50018,1000,9418,2026-05-24 00:44:50.864065,Voucher,click
50019,1000,2863,2026-05-30 00:14:06.333389,Voucher,click
50020,1000,1701,2026-05-28 21:08:51.371837,Voucher,click
50021,1000,8570,2026-06-01 01:48:19.639021,Voucher,click
50022,1000,8284,2026-05-16 07:15:06.255001,Voucher,click
50023,1000,4474,2026-05-12 18:20:09.901438,Voucher,click
50024,1000,2807,2026-05-07 13:53:47.562647,Voucher,click
50025,1000,2135,2026-05-08 04:49:00.949775,QRIS,click
50026,1000,5550,2026-06-03 06:47:35.154693,QRIS,click
50027,1000,7240,2026-06-01 10:00:54.983415,QRIS,click
50028,1000,1060,2026-05-17 06:54:53.437049,QRIS,click
50029,1000,7368,2026-05-21 03:41:50.114855,QRIS,click
50030,1000,7980,2026-05-28 11:17:22.491505,QRIS,click
50031,1000,1740,2026-05-13 10:58:14.697135,QRIS,click
50032,1000,4512,2026-05-26 02:19:12.864369,QRIS,click
50033,1000,5424,2026-06-02 13:14:22.180898,QRIS,click
50034,1000,5202,2026-05-30 10:58:51.921849,QRIS,click
50035,1000,1949,2026-05-16 06:40:51.200217,QRIS,click
50036,1000,1771,2026-05-14 19:09:01.114676,QRIS,click
50037,1000,3008,2026-05-14 08:07:29.769652,QRIS,click
50038,1000,5750,2026-05-27 17:34:14.516450,QRIS,click
50039,1000,8299,2026-05-24 06:10:38.859998,QRIS,click
50040,1000,3305,2026-05-08 09:18:50.232982,QRIS,click
50041,1000,8371,2026-05-20 18:19:14.880092,QRIS,click
50042,1000,4480,2026-05-18 14:28:27.996609,QRIS,click
50043,1000,4551,2026-05-31 13:18:08.805383,QRIS,click
50044,1000,7121,2026-05-17 12:21:09.932563,QRIS,click
50045,1000,9001,2026-05-11 13:36:29.538115,QRIS,click
50046,1000,9083,2026-05-08 16:02:21.122725,QRIS,click
50047,1000,7837,2026-05-26 19:44:06.965488,QRIS,click
50048,1000,4659,2026-06-01 07:41:52.586086,QRIS,click
50049,1000,4192,2026-05-16 12:28:05.464079,QRIS,click
50050,1000,4607,2026-05-11 03:40:24.955609,QRIS,click
50051,1000,2377,2026-05-30 06:43:12.565481,QRIS,click
50052,1000,7484,2026-05-12 11:22:31.878784,QRIS,click
50053,1000,2043,2026-05-21 06:40:53.054390,QRIS,click
50054,1000,5604,2026-05-13 06:51:50.513622,QRIS,click
50055,1000,1273,2026-05-24 12:53:06.568416,Tukar Point Xtra,click
50056,1000,5041,2026-05-27 09:38:41.733787,Tukar Point Xtra,click
50057,1000,7834,2026-05-31 19:34:13.586085,Tukar Point Xtra,click
50058,1000,8707,2026-05-08 12:19:08.949540,Tukar Point Xtra,click
50059,1000,3007,2026-05-11 02:00:35.619158,Tukar Point Xtra,click
50060,1000,7303,2026-05-16 05:56:44.302752,Tukar Point Xtra,click
50061,1000,1748,2026-05-14 15:29:05.838242,Tukar Point Xtra,click
50062,1000,3114,2026-05-10 06:13:28.726674,Tukar Point Xtra,click
50063,1000,4528,2026-05-24 13:44:50.011228,Tukar Point Xtra,click
50064,1000,7101,2026-05-16 11:12:03.176663,Tukar Point Xtra,click
50065,1000,6661,2026-05-21 16:09:43.726429,Tukar Point Xtra,click
50066,1000,4331,2026-05-26 16:40:23.157302,Tukar Point Xtra,click
50067,1000,4406,2026-05-31 08:27:35.007136,Tukar Point Xtra,click
50068,1001,6435,2026-05-26 16:23:47.859954,Savings,click
50069,1001,3020,2026-06-05 04:26:38.197412,Savings,click
50070,1001,8221,2026-05-13 12:28:30.484039,Savings,click
50071,1001,4139,2026-05-10 16:55:53.644365,Savings,click
50072,1001,2206,2026-05-13 02:29:01.717377,Savings,click
50073,1001,5041,2026-05-19 13:36:10.809314,Savings,click
50074,1001,7882,2026-05-16 04:17:54.621096,Savings,click
50075,1001,6923,2026-05-17 15:45:48.515223,Savings,click
50076,1001,1624,2026-05-25 12:55:57.410239,Savings,click
50077,1001,5371,2026-05-16 22:43:28.444234,Savings,click
50078,1001,6399,2026-06-03 07:36:51.093553,Savings,click
50079,1001,1826,2026-05-07 15:26:40.579620,Savings,click
50080,1001,1487,2026-06-04 13:10:20.698604,Savings,click
50081,1001,6577,2026-05-16 14:01:40.304945,Savings,click
50082,1001,1640,2026-05-18 00:09:03.238972,Savings,click
50083,1001,9417,2026-05-11 23:19:31.988221,Investment,click
